0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
0,fil-2101,3/11/2008 0:00,1429-03-03,Tuesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 25368.0,Regular,1022612,306783,7,13498,SAR 674905
1,fil-2102,3/11/2008 0:00,1429-03-03,Tuesday,,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 26811.0,Regular,437081,262248,4,6599,SAR 303593
2,fil-2103,3/11/2008 0:00,1429-03-03,Tuesday,,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 55357.0,Regular,1305631,783378,5,17371,SAR 860261
3,fil-2104,3/11/2008 0:00,1429-03-03,Tue,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4130.0,Regular,180739,90369,0,2612,SAR 125710
4,fil-2105,3/11/2008 0:00,1429-03-03,Tuesday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 557274.0,Regular,1588681,953208,4,16967,SAR 726490
5,fil-2106,3/11/2008 0:00,1429-03-03,Tuesday,March,Rabi’ al-Awwal,Center,,420,Yes,12 hrs,SAR 7145.0,Regular,490506,294303,8,4552,SAR 260397
6,fil-2107,3/11/2008 0:00,1429-03-03,Tuesday,March,Rabi’ al-Awwal,Center,,880,Yes,24 hrs,SAR 56021.0,Regular,1584314,633725,5,15725,SAR 784999
7,fil-2108,3/11/2008 0:00,1429-03-03,Tuesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 70261.0,Regular,1299382,649691,8,10166,SAR 563301
8,fil-2109,3/11/2008 0:00,1429-03-03,Tue,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 156476.0,Regular,2146067,643820,9,17022,SAR 882227
9,fil-2110,3/11/2008 0:00,1429-03-03,Tuesday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 374855.0,Regular,936589,561953,4,8522,SAR 418833
10,fil-2101,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,,,855,Yes,12 hrs,SAR 26226.0,None,1022612,0,7,9817,SAR 444430
11,fil-2102,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 27381.0,None,437081,0,4,6534,SAR 304614
12,fil-2103,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 60636.0,None,1305631,0,5,10640,SAR 537740
13,fil-2104,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4248.0,None,180739,0,0,1558,SAR 80172
14,fil-2105,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 648675.0,None,1588681,0,4,14456,SAR 844991
15,fil-2106,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 7324.0,None,490506,0,8,4708,SAR 239798
16,fil-2107,3/12/2008 0:00,1429-03-04,,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 53416.0,None,1584314,0,5,11327,SAR 587396
17,fil-2108,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 64508.0,None,1299382,0,8,17151,SAR 784920
18,fil-2109,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 180986.0,None,2146067,0,9,14164,SAR 635011
19,fil-2110,3/12/2008 0:00,1429-03-04,Wednesday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 340117.0,None,936589,0,4,13393,SAR 701266
20,fil-2101,3/13/2008 0:00,1429-03-05,Thursday,March,Rabi’ al-Awwal,,Hyper,855,Yes,12 hrs,SAR 20559.0,None,1022612,0,7,8589,SAR 453529
21,fil-2102,3/13/2008 0:00,1429-03-05,Thu,,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 24953.0,None,437081,0,4,3693,SAR 197742
22,fil-2103,3/13/2008 0:00,1429-03-05,Thursday,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 63709.0,None,1305631,0,5,17778,SAR 678318
23,fil-2104,3/13/2008 0:00,1429-03-05,Thursday,Mar,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4213.0,None,180739,0,0,1968,SAR 84113
24,fil-2105,3/13/2008 0:00,1429-03-05,Thursday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 590498.0,None,1588681,0,4,19620,SAR 944866
25,fil-2106,3/13/2008 0:00,1429-03-05,Thursday,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 7691.0,None,490506,0,8,4120,SAR 189036
26,fil-2107,3/13/2008 0:00,1429-03-05,,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 58009.0,None,1584314,0,5,22655,SAR 937301
27,fil-2108,3/13/2008 0:00,1429-03-05,Thursday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 66705.0,None,1299382,0,8,14033,SAR 627105
28,fil-2109,3/13/2008 0:00,1429-03-05,Thursday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 168478.0,None,2146067,0,9,20602,SAR 1073221
29,fil-2110,3/13/2008 0:00,1429-03-05,Thu,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 382161.0,None,936589,0,4,10349,SAR 477503
30,fil-2101,3/14/2008 0:00,1429-03-06,Fri,Mar,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 24178.0,Grand,1022612,613567,7,16234,SAR 1073210
31,fil-2102,3/14/2008 0:00,1429-03-06,Friday,Mar,Rabi’ al-Awwal,Border,,885,Yes,24 hrs,SAR 27830.0,Grand,437081,174832,4,8223,SAR 416900
32,fil-2103,3/14/2008 0:00,1429-03-06,,Mar,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 60533.0,Grand,1305631,652815,5,31178,SAR 1326159
33,fil-2104,3/14/2008 0:00,1429-03-06,Friday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4348.0,Grand,180739,108443,0,1969,SAR 88857
34,fil-2105,3/14/2008 0:00,1429-03-06,Friday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 572197.0,Grand,1588681,476604,4,15422,SAR 684524
35,fil-2106,3/14/2008 0:00,1429-03-06,Friday,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 8580.0,Grand,490506,245253,8,4839,SAR 233833
36,fil-2107,3/14/2008 0:00,1429-03-06,Friday,March,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 49717.0,Grand,1584314,633725,5,22871,SAR 952371
37,fil-2108,3/14/2008 0:00,1429-03-06,Friday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 71319.0,Grand,1299382,649691,8,19034,SAR 869833
38,fil-2109,3/14/2008 0:00,1429-03-06,Friday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 154039.0,Grand,2146067,858426,9,16589,SAR 753689
39,fil-2110,3/14/2008 0:00,1429-03-06,,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 309838.0,Grand,936589,374635,4,11337,SAR 578905
40,fil-2101,3/15/2008 0:00,1429-03-07,Saturday,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,12 hrs,SAR 18487.0,Regular,1022612,613567,7,7424,SAR 380438
41,fil-2102,3/15/2008 0:00,1429-03-07,Sat,March,Rabi’ al-Awwal,Border,Hyper,885,Yes,24 hrs,SAR 29417.0,Regular,437081,174832,4,6480,SAR 295499
42,fil-2103,3/15/2008 0:00,1429-03-07,Saturday,,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 58051.0,Regular,1305631,522252,5,17606,SAR 913390
43,fil-2104,3/15/2008 0:00,1429-03-07,Sat,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4729.0,Regular,180739,108443,0,1705,SAR 104098
44,fil-2105,3/15/2008 0:00,1429-03-07,Saturday,March,Rabi’ al-Awwal,Border,Grande,3375,Yes,12 hrs,SAR 575591.0,Regular,1588681,794340,4,13726,SAR 649096
45,fil-2106,3/15/2008 0:00,1429-03-07,,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 7586.0,Regular,490506,147151,8,6818,SAR 361346
46,fil-2107,3/15/2008 0:00,1429-03-07,Saturday,Mar,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 52746.0,Regular,1584314,950588,5,12251,SAR 636344
47,fil-2108,3/15/2008 0:00,1429-03-07,Saturday,Mar,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 70212.0,Regular,1299382,649691,8,16368,SAR 817460
48,fil-2109,3/15/2008 0:00,1429-03-07,Saturday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 156543.0,Regular,2146067,1073033,9,27898,SAR 1384638
49,fil-2110,3/15/2008 0:00,1429-03-07,Saturday,March,Rabi’ al-Awwal,Border,Grande,2445,Yes,18 hrs,SAR 298995.0,Regular,936589,561953,4,13866,SAR 714600
50,fil-2101,3/16/2008 0:00,1429-03-08,Sun,March,Rabi’ al-Awwal,Center,,855,Yes,12 hrs,SAR 22514.0,Regular,1022612,613567,7,15523,SAR 722842
51,fil-2102,3/16/2008 0:00,1429-03-08,Sunday,March,Rabi’ al-Awwal,Border,,885,Yes,24 hrs,SAR 26858.0,Regular,437081,174832,4,3120,SAR 166157
52,fil-2103,3/16/2008 0:00,1429-03-08,Sun,March,Rabi’ al-Awwal,Center,Hyper,615,No,12 hrs,SAR 56120.0,Regular,1305631,783378,5,21010,SAR 1147817
53,fil-2104,3/16/2008 0:00,1429-03-08,Sunday,March,Rabi’ al-Awwal,Outskirts,Regular,1665,Yes,12 hrs,SAR 4836.0,Regular,180739,90369,0,3268,SAR 159258
54,fil-2105,3/16/2008 0:00,1429-03-08,Sunday,March,Rabi’ al-Awwal,,Grande,3375,Yes,12 hrs,SAR 471786.0,Regular,1588681,635472,4,27414,SAR 1386183
55,fil-2106,3/16/2008 0:00,1429-03-08,Sunday,March,Rabi’ al-Awwal,Center,Regular,420,Yes,12 hrs,SAR 8145.0,Regular,490506,245253,8,5774,SAR 295299
56,fil-2107,3/16/2008 0:00,1429-03-08,Sun,Mar,Rabi’ al-Awwal,Center,Hyper,880,Yes,24 hrs,SAR 44573.0,Regular,1584314,475294,5,25507,SAR 1395922
57,fil-2108,3/16/2008 0:00,1429-03-08,,March,Rabi’ al-Awwal,Center,Hyper,855,Yes,18 hrs,SAR 72711.0,Regular,1299382,779629,8,19515,SAR 851119
58,fil-2109,3/16/2008 0:00,1429-03-08,Sunday,March,Rabi’ al-Awwal,Center,Grande,1105,Yes,18 hrs,SAR 160716.0,Regular,2146067,1073033,9,23932,SAR 1293623
