0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
0,fil-2101,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5983.0,Grand,497753,248876,7,6205,SAR 356985
1,fil-2102,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 52541.0,None,352083,0,4,2746,SAR 110981
2,fil-2103,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6135.0,Grand,1072366,428946,6,18818,SAR 849775
3,fil-2104,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 226743.0,None,2136403,0,10,25636,SAR 1317495
4,fil-2105,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 34263.0,Grand,217117,130270,1,3951,SAR 191598
5,fil-2106,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 435920.0,None,4153861,0,7,39877,SAR 1944908
6,fil-2107,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 83529.0,Grand,250180,100072,2,2724,SAR 143690
7,fil-2108,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 591846.0,None,2692781,0,10,22619,SAR 1050462
8,fil-2109,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 55398.0,Grand,1281622,768973,7,19326,SAR 980236
9,fil-2110,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 71075.0,None,412301,0,2,6200,SAR 281137
10,fil-2111,9/9/2019 0:00,1441-01-10,Mon,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2211.0,Grand,447122,178848,9,6912,SAR 357846
11,fil-2101,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5041.0,Regular,497753,199101,7,6602,SAR 332059
12,fil-2102,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 65563.0,None,352083,0,4,2517,SAR 128231
13,fil-2103,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6032.0,Regular,1072366,536183,6,10471,SAR 558212
14,fil-2104,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 247301.0,None,2136403,0,10,28200,SAR 1360315
15,fil-2105,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 43782.0,Regular,217117,86846,1,2565,SAR 118381
16,fil-2106,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 518550.0,None,4153861,0,7,42369,SAR 2033859
17,fil-2107,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 86774.0,Regular,250180,125090,2,3520,SAR 193354
18,fil-2108,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 534317.0,None,2692781,0,10,22619,SAR 1142638
19,fil-2109,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 52100.0,Regular,1281622,512648,7,14379,SAR 726178
20,fil-2110,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 71419.0,None,412301,0,2,3755,SAR 197802
21,fil-2111,9/10/2019 0:00,1441-01-11,Tue,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2534.0,Regular,447122,134136,9,4520,SAR 220938
22,fil-2101,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5861.0,None,497753,0,7,6371,SAR 271851
23,fil-2102,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 62225.0,Regular,352083,140833,4,5757,SAR 293900
24,fil-2103,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6609.0,None,1072366,0,6,10938,SAR 588846
25,fil-2104,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 202237.0,Regular,2136403,1068201,10,20926,SAR 1123131
26,fil-2105,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 39288.0,None,217117,0,1,3071,SAR 171716
27,fil-2106,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 432298.0,Regular,4153861,2492316,7,27290,SAR 1659933
28,fil-2107,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 81206.0,None,250180,0,2,5345,SAR 256737
29,fil-2108,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 590536.0,Regular,2692781,1077112,10,23419,SAR 1089333
30,fil-2109,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 54952.0,None,1281622,0,7,7689,SAR 453710
31,fil-2110,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 67259.0,Regular,412301,123690,2,7766,SAR 415854
32,fil-2111,9/11/2019 0:00,1441-01-12,Wed,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2885.0,None,447122,0,9,3755,SAR 169823
33,fil-2101,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 4417.0,None,497753,0,7,9031,SAR 447518
34,fil-2102,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 51911.0,Regular,352083,105624,4,4581,SAR 234786
35,fil-2103,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6529.0,None,1072366,0,6,12868,SAR 681280
36,fil-2104,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 190876.0,Regular,2136403,1281841,10,25611,SAR 1516439
37,fil-2105,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 35001.0,None,217117,0,1,3151,SAR 149594
38,fil-2106,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 547804.0,Regular,4153861,2076930,7,65996,SAR 3416962
39,fil-2107,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 82340.0,None,250180,0,2,3870,SAR 224421
40,fil-2108,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 569778.0,Regular,2692781,807834,10,19401,SAR 995330
41,fil-2109,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 52427.0,None,1281622,0,7,14610,SAR 776110
42,fil-2110,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 63200.0,Regular,412301,206150,2,4032,SAR 217211
43,fil-2111,9/12/2019 0:00,1441-01-13,Thu,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2472.0,None,447122,0,9,4024,SAR 197570
44,fil-2101,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 6674.0,None,497753,0,7,7486,SAR 398315
45,fil-2102,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 44571.0,None,352083,0,4,5492,SAR 308192
46,fil-2103,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 6785.0,None,1072366,0,6,10294,SAR 569208
47,fil-2104,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 224077.0,None,2136403,0,10,25636,SAR 1365104
48,fil-2105,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 35837.0,None,217117,0,1,2692,SAR 160918
49,fil-2106,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 487539.0,None,4153861,0,7,39877,SAR 2142911
50,fil-2107,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 64694.0,None,250180,0,2,3576,SAR 178069
51,fil-2108,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 712725.0,None,2692781,0,10,24235,SAR 1374479
52,fil-2109,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 51395.0,None,1281622,0,7,7689,SAR 400965
53,fil-2110,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Border,Hyper,840,Yes,18 hrs,SAR 71515.0,None,412301,0,2,4502,SAR 229211
54,fil-2111,9/13/2019 0:00,1441-01-14,Fri,Sep,Muharram,Center,Regular,265,Yes,12 hrs,SAR 2800.0,None,447122,0,9,3755,SAR 199725
55,fil-2101,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Center,Regular,150,No,12 hrs,SAR 5590.0,None,497753,0,7,8059,SAR 395220
56,fil-2102,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Border,Hyper,1830,Yes,24 hrs,SAR 50997.0,Grand,352083,176041,4,4007,SAR 210785
57,fil-2103,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Center,Regular,465,Yes,12 hrs,SAR 5966.0,None,1072366,0,6,12868,SAR 529266
58,fil-2104,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Center,Grande,1470,Yes,18 hrs,SAR 209919.0,Grand,2136403,1068201,10,17625,SAR 783684
59,fil-2105,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Outskirts,Hyper,810,Yes,24 hrs,SAR 35765.0,None,217117,0,1,2504,SAR 130290
60,fil-2106,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Center,Grande,840,Yes,12 hrs,SAR 458296.0,Grand,4153861,1246158,7,60770,SAR 2659431
61,fil-2107,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Border,Hyper,765,No,12 hrs,SAR 68517.0,None,250180,0,2,3758,SAR 170836
62,fil-2108,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Center,Grande,1060,Yes,12 hrs,SAR 524551.0,Grand,2692781,1615668,10,31263,SAR 1447091
63,fil-2109,9/14/2019 0:00,1441-01-15,Sat,Sep,Muharram,Center,Hyper,960,Yes,18 hrs,SAR 46732.0,None,1281622,0,7,18455,SAR 926186
